"","strain","isotype","substrate","latitude","longitude","elevation","landscape","isolation_date","source_lab","isolated_by","sampled_by"
"166","JU1920","JU1793","Rotting stem","49.12604","1.95114","64.65354919433594","Forest","2009-10-25","JU","M.-A. Félix","M.-A. Félix"
"167","JU1922","JU1793","Rotting stem","49.12604","1.95114","64.65354919433594","Forest","2009-10-25","JU","M.-A. Félix","M.-A. Félix"
"168","JU1929","JU1793","Rotting stem","49.12604","1.95114","64.65354919433594","Forest","2009-10-25","JU","M.-A. Félix","M.-A. Félix"
"169","JU2139","JU1793","Rotting nut","46.63278","1.064289","81.81644439697266","Forest","2011-10-23","JU","M.-A. Félix","M.-A. Félix"
"170","JU2604","JU1793","Rotting nut","49.16477","1.86175","115.7568511962891","None","2013-11-20","JU","M.-A. Félix","S. Marsh & M.-A. Félix"
"171","JU2605","JU1793","Rotting fruit","49.166","1.86","111.6757583618164","Rural garden","2013-11-20","JU","M.-A. Félix","S. Marsh & M.-A. Félix"
"172","JU1808","JU1808","Snail","48.81257","2.395372","33.6448860168457","Urban garden","2009-10-14","JU","M.-A. Félix","M.-A. Félix"
"173","JU1896","JU1896","Rotting fruit","37.999722","23.749673","189.763671875","Urban garden","2010-01-02","JU","M. Barkoulas","M. Barkoulas"
"174","JU1934","JU1934","Rotting stem","49.12604","1.95114","64.65354919433594","Forest","2009-10-25","JU","M.-A. Félix","M.-A. Félix"
"175","JU2001","JU2001","Rotting flower","-21.1","55.5","2173.347900390625","Forest","2010-09-01","JU","T. Belicard","T. Belicard"
"176","JU2007","JU2007","Rotting fruit","50.7608","-1.32413","5.480945110321045","Rural garden","2010-10-16","JU","M. Barkoulas","M. Barkoulas"
"177","JU2016","JU2016","Rotting fruit","37.757593","-122.463177","112.8755493164062","Urban garden","2010-11-01","JU","M.-A. Félix","C. Nelson"
"178","JU2017","JU2017","Rotting plant","37.757593","-122.463177","112.8755493164062","Urban garden","2010-11-01","JU","M.-A. Félix","C. Nelson"
"179","JU2106","JU2106","Compost","43.606266","0.239824","226.1948547363281","Rural garden","2011-07-10","JU","M.-A. Félix","M.-A. Félix"
"180","JU2131","JU2131","Rotting stem","48.0497","-4.705","20.98462677001953","Wet shrubland","2011-08-09","JU","M.-A. Félix","M.-A. Félix"
"181","JU2141","JU2141","Rotting nut","46.6293","1.0512","108.6377563476562","Agricultural land","2011-10-23","JU","M.-A. Félix","M.-A. Félix"
"182","JU2234","JU2234","Rotting fruit","47.227","-1.583","36.68273162841797","None","2012-11-11","JU","L. Frézal","L. Frézal"
"183","JU2250","JU2250","Rotting fruit","48.285278","-1.891389","137.1138763427734","Rural garden","2012-11-15","JU","L. Frézal","L. Frézal"
"184","JU2257","JU2257","Compost","46.6","1.1","109.1673889160156","Urban garden","2013-08-15","JU","M.-A. Félix","M.-A. Félix"
"185","JU2287","JU2257","Compost","46.6","1.1","109.1673889160156","Urban garden","2013-08-15","JU","M.-A. Félix","M.-A. Félix"
"186","JU2316","JU2316","Rotting fruit","38.7175","-9.1486","65.96717071533203","Botanical garden zoo","2013-08-25","JU","M.-A. Félix","M.-A. Félix"
"187","JU2464","JU2464","Rotting fruit","-13.155","-72.525","2073.386962890625","None","2013-01-01","JU","L. Frezal","L. Lokmane"
"188","JU2467","JU2464","Rotting fruit","-13.155","-72.525","2073.386962890625","None","2013-01-01","JU","L. Frezal","L. Lokmane"
"189","JU2468","JU2464","Rotting fruit","-13.155","-72.525","2073.386962890625","None","2013-01-01","JU","L. Frezal","L. Lokmane"
"190","JU2466","JU2466","Rotting fruit","-13.257","-72.266","2867.386474609375","None","2013-01-01","JU","L. Frezal","L. Lokmane"
"191","JU2478","JU2478","Compost","50.85","4.351","18.11716079711914","Urban garden","2013-02-01","JU","M.-A. Félix","None"
"192","JU2513","JU2513","Rotting fruit","38.26016","22.0736","1.253685474395752","None","2013-05-07","JU","M.-A. Félix","M.-A. Félix"
"193","JU2519","JU2519","Rotting fruit","38.7175","-9.1486","65.96717071533203","Botanical garden zoo","2013-08-25","JU","M.-A. Félix","M.-A. Félix"
"194","JU2522","JU2522","Rotting fruit","38.7175","-9.1486","65.96717071533203","Botanical garden zoo","2013-08-25","JU","M.-A. Félix","M.-A. Félix"
